term,term_study_count,atlas,region,mean_z,max_z,voxel_count,is_vmPFC_acc_seed,seed_mean_z,coactivation_proxy,term_columns,coactivation_rank_within_term
fear,363,harvard_oxford_cortical,Precuneous Cortex,0.3604369259709547,5.089841842651367,5623,False,3.3616106779233936,1.2116486190618452,terms_abstract_tfidf__fear,27.0
fear,363,harvard_oxford_cortical,Cuneal Cortex,0.005013701822472085,0.891933798789978,1227,False,3.3616106779233936,0.01685411358234614,terms_abstract_tfidf__fear,42.0
fear,363,harvard_oxford_cortical,Frontal Orbital Cortex,3.6489583182715477,12.260671615600586,3148,True,3.3616106779233936,12.266377245999024,terms_abstract_tfidf__fear,
fear,363,harvard_oxford_cortical,"Parahippocampal Gyrus, anterior division",3.093392294473373,14.121426582336426,1248,False,3.3616106779233936,10.398780568107638,terms_abstract_tfidf__fear,4.0
fear,363,harvard_oxford_cortical,"Parahippocampal Gyrus, posterior division",1.277264783269083,4.311685085296631,710,False,3.3616106779233936,4.293666933972859,terms_abstract_tfidf__fear,14.0
fear,363,harvard_oxford_cortical,Lingual Gyrus,0.27817194431323833,3.5077009201049805,3381,False,3.3616106779233936,0.9351057783020936,terms_abstract_tfidf__fear,31.0
fear,363,harvard_oxford_cortical,"Temporal Fusiform Cortex, anterior division",0.015990660107526623,2.4599361419677734,610,False,3.3616106779233936,0.05375437376450514,terms_abstract_tfidf__fear,41.0
fear,363,harvard_oxford_cortical,"Temporal Fusiform Cortex, posterior division",0.6685570243797457,5.845443248748779,1594,False,3.3616106779233936,2.247428431955644,terms_abstract_tfidf__fear,24.0
fear,363,harvard_oxford_cortical,Temporal Occipital Fusiform Cortex,3.237071443123425,7.121106147766113,1469,False,3.3616106779233936,10.881773928404595,terms_abstract_tfidf__fear,3.0
fear,363,harvard_oxford_cortical,Occipital Fusiform Gyrus,1.6443811722042025,6.581117630004883,1806,False,3.3616106779233936,5.527769307057834,terms_abstract_tfidf__fear,11.0
fear,363,harvard_oxford_cortical,Frontal Opercular Cortex,6.630238525970707,11.791306495666504,687,False,3.3616106779233936,22.28828062608219,terms_abstract_tfidf__fear,1.0
fear,363,harvard_oxford_cortical,Central Opercular Cortex,1.6007947131580538,9.529309272766113,1886,False,3.3616106779233936,5.38124860091543,terms_abstract_tfidf__fear,12.0
fear,363,harvard_oxford_cortical,Parietal Opercular Cortex,1.7149695169456949,4.703770160675049,1119,False,3.3616106779233936,5.765059840477773,terms_abstract_tfidf__fear,10.0
fear,363,harvard_oxford_cortical,Planum Polare,1.7596276156574449,5.658504486083984,749,False,3.3616106779233936,5.915182981962948,terms_abstract_tfidf__fear,9.0
fear,363,harvard_oxford_cortical,Heschl's Gyrus (includes H1 and H2),1.9525678673426048,4.508504867553711,604,False,3.3616106779233936,6.5637729922290085,terms_abstract_tfidf__fear,7.0
fear,363,harvard_oxford_cortical,Planum Temporale,1.2620411220343173,4.703770160675049,952,False,3.3616106779233936,4.242490911808981,terms_abstract_tfidf__fear,15.0
fear,363,harvard_oxford_cortical,Supracalcarine Cortex,0.1016892818198807,1.3540401458740234,261,False,3.3616106779233936,0.3418397755960722,terms_abstract_tfidf__fear,37.0
fear,363,harvard_oxford_cortical,Occipital Pole,0.2069111536959521,4.703770160675049,5276,False,3.3616106779233936,0.695554743645761,terms_abstract_tfidf__fear,35.0
fear,363,harvard_oxford_subcortical,Left Cerebral White Matter,0.7000314086440045,14.121426582336426,31371,False,,,terms_abstract_tfidf__fear,
fear,363,harvard_oxford_subcortical,Left Cerebral Cortex,0.9934634400276026,14.121426582336426,65070,False,,,terms_abstract_tfidf__fear,
fear,363,harvard_oxford_subcortical,Left Lateral Ventricle,0.20024523306882017,4.703770160675049,1145,False,,,terms_abstract_tfidf__fear,
fear,363,harvard_oxford_subcortical,Left Thalamus,3.0337751513173594,7.475933074951172,1321,False,,,terms_abstract_tfidf__fear,
fear,363,harvard_oxford_subcortical,Left Caudate,1.4147181366197383,5.470284938812256,487,False,,,terms_abstract_tfidf__fear,
