term,term_study_count,atlas,region,activation_density_mean_z,activation_density_peak_z,voxel_count,is_vmPFC_acc_seed,term_columns,pooled_seed_activation_density_mean_z,seed_scaled_activation_density,activation_density_rank_within_term,seed_scaled_activation_density_rank_within_term
fear,363,harvard_oxford_cortical,Frontal Orbital Cortex,3.6489583182715477,12.260671615600586,3148,True,terms_abstract_tfidf__fear,3.3616106779233936,12.266377245999024,,
fear,363,harvard_oxford_cortical,"Parahippocampal Gyrus, anterior division",3.093392294473373,14.121426582336426,1248,False,terms_abstract_tfidf__fear,3.3616106779233936,10.398780568107638,12.0,12.0
fear,363,harvard_oxford_cortical,"Parahippocampal Gyrus, posterior division",1.277264783269083,4.311685085296631,710,False,terms_abstract_tfidf__fear,3.3616106779233936,4.293666933972859,27.0,27.0
fear,363,harvard_oxford_cortical,Lingual Gyrus,0.27817194431323833,3.5077009201049805,3381,False,terms_abstract_tfidf__fear,3.3616106779233936,0.9351057783020936,50.0,50.0
fear,363,harvard_oxford_cortical,"Temporal Fusiform Cortex, anterior division",0.015990660107526623,2.4599361419677734,610,False,terms_abstract_tfidf__fear,3.3616106779233936,0.05375437376450514,62.0,62.0
fear,363,harvard_oxford_cortical,"Temporal Fusiform Cortex, posterior division",0.6685570243797457,5.845443248748779,1594,False,terms_abstract_tfidf__fear,3.3616106779233936,2.247428431955644,42.0,42.0
fear,363,harvard_oxford_cortical,Temporal Occipital Fusiform Cortex,3.237071443123425,7.121106147766113,1469,False,terms_abstract_tfidf__fear,3.3616106779233936,10.881773928404595,11.0,11.0
fear,363,harvard_oxford_cortical,Occipital Fusiform Gyrus,1.6443811722042025,6.581117630004883,1806,False,terms_abstract_tfidf__fear,3.3616106779233936,5.527769307057834,23.0,23.0
fear,363,harvard_oxford_cortical,Frontal Opercular Cortex,6.630238525970707,11.791306495666504,687,False,terms_abstract_tfidf__fear,3.3616106779233936,22.28828062608219,3.0,3.0
fear,363,harvard_oxford_cortical,Central Opercular Cortex,1.6007947131580538,9.529309272766113,1886,False,terms_abstract_tfidf__fear,3.3616106779233936,5.38124860091543,24.0,24.0
fear,363,harvard_oxford_cortical,Parietal Opercular Cortex,1.7149695169456949,4.703770160675049,1119,False,terms_abstract_tfidf__fear,3.3616106779233936,5.765059840477773,22.0,22.0
fear,363,harvard_oxford_cortical,Planum Polare,1.7596276156574449,5.658504486083984,749,False,terms_abstract_tfidf__fear,3.3616106779233936,5.915182981962948,21.0,21.0
fear,363,harvard_oxford_cortical,Heschl's Gyrus (includes H1 and H2),1.9525678673426048,4.508504867553711,604,False,terms_abstract_tfidf__fear,3.3616106779233936,6.5637729922290085,19.0,19.0
fear,363,harvard_oxford_cortical,Planum Temporale,1.2620411220343173,4.703770160675049,952,False,terms_abstract_tfidf__fear,3.3616106779233936,4.242490911808981,28.0,28.0
fear,363,harvard_oxford_cortical,Supracalcarine Cortex,0.1016892818198807,1.3540401458740234,261,False,terms_abstract_tfidf__fear,3.3616106779233936,0.3418397755960722,58.0,58.0
fear,363,harvard_oxford_cortical,Occipital Pole,0.2069111536959521,4.703770160675049,5276,False,terms_abstract_tfidf__fear,3.3616106779233936,0.695554743645761,54.0,54.0
fear,363,harvard_oxford_subcortical,Left Cerebral White Matter,0.7000314086440045,14.121426582336426,31371,False,terms_abstract_tfidf__fear,3.3616106779233936,2.3532330581794403,40.0,40.0
fear,363,harvard_oxford_subcortical,Left Cerebral Cortex,0.9934634400276026,14.121426582336426,65070,False,terms_abstract_tfidf__fear,3.3616106779233936,3.339637308123296,36.0,36.0
fear,363,harvard_oxford_subcortical,Left Lateral Ventricle,0.20024523306882017,4.703770160675049,1145,False,terms_abstract_tfidf__fear,3.3616106779233936,0.6731465136874045,55.0,55.0
fear,363,harvard_oxford_subcortical,Left Thalamus,3.0337751513173594,7.475933074951172,1321,False,terms_abstract_tfidf__fear,3.3616106779233936,10.198370943087095,13.0,13.0
fear,363,harvard_oxford_subcortical,Left Caudate,1.4147181366197383,5.470284938812256,487,False,terms_abstract_tfidf__fear,3.3616106779233936,4.755731594312799,25.0,25.0
fear,363,harvard_oxford_subcortical,Left Putamen,2.751198591014023,10.997682571411133,799,False,terms_abstract_tfidf__fear,3.3616106779233936,9.248458560640536,16.0,16.0
fear,363,harvard_oxford_subcortical,Left Pallidum,4.122650188788046,10.188666343688965,267,False,terms_abstract_tfidf__fear,3.3616106779233936,13.858744895972789,8.0,8.0
fear,363,harvard_oxford_subcortical,Brain-Stem,0.36694610651224424,7.121106147766113,4890,False,terms_abstract_tfidf__fear,3.3616106779233936,1.2335299498739751,45.0,45.0
fear,363,harvard_oxford_subcortical,Left Hippocampus,5.86392687854132,14.121426582336426,691,False,terms_abstract_tfidf__fear,3.3616106779233936,19.712239209466496,4.0,4.0
fear,363,harvard_oxford_subcortical,Left Amygdala,13.59767428878086,14.121426582336426,306,False,terms_abstract_tfidf__fear,3.3616106779233936,45.71008708409013,1.0,1.0
fear,363,harvard_oxford_subcortical,Left Accumbens,3.912964348042949,5.658504486083984,89,False,terms_abstract_tfidf__fear,3.3616106779233936,13.153862734714727,9.0,9.0
fear,363,harvard_oxford_subcortical,Right Cerebral White Matter,0.7300605788379827,14.121426582336426,31361,False,terms_abstract_tfidf__fear,3.3616106779233936,2.454179437352696,39.0,39.0
fear,363,harvard_oxford_subcortical,Right Cerebral Cortex,1.0541356019083676,14.121426582336426,64054,False,terms_abstract_tfidf__fear,3.3616106779233936,3.543593495354372,31.0,31.0
fear,363,harvard_oxford_subcortical,Right Lateral Ventricle,0.18695021169927334,5.280745029449463,1019,False,terms_abstract_tfidf__fear,3.3616106779233936,0.6284538278883162,56.0,56.0
fear,363,harvard_oxford_subcortical,Right Thalamus,2.924193191126465,6.762183666229248,1283,False,terms_abstract_tfidf__fear,3.3616106779233936,9.829999055601608,15.0,15.0
fear,363,harvard_oxford_subcortical,Right Caudate,1.1199386913307492,5.470284938812256,511,False,terms_abstract_tfidf__fear,3.3616106779233936,3.764797863396998,29.0,29.0
fear,363,harvard_oxford_subcortical,Right Putamen,2.9385044764933275,12.416051864624023,796,False,terms_abstract_tfidf__fear,3.3616106779233936,9.87810802530566,14.0,14.0
fear,363,harvard_oxford_subcortical,Right Pallidum,4.12680855135505,10.514216423034668,260,False,terms_abstract_tfidf__fear,3.3616106779233936,13.872723691980708,7.0,7.0
fear,363,harvard_oxford_subcortical,Right Hippocampus,5.348717373907566,14.121426582336426,700,False,terms_abstract_tfidf__fear,3.3616106779233936,17.980305437322045,5.0,5.0
fear,363,harvard_oxford_subcortical,Right Amygdala,13.587052609751133,14.121426582336426,366,False,terms_abstract_tfidf__fear,3.3616106779233936,45.67438113444632,2.0,2.0
fear,363,harvard_oxford_subcortical,Right Accumbens,3.2498812661284493,5.089841842651367,84,False,terms_abstract_tfidf__fear,3.3616106779233936,10.924835566200594,10.0,10.0
threat,228,harvard_oxford_cortical,Frontal Pole,0.5870862850866017,5.319850444793701,15397,False,terms_abstract_tfidf__threat,2.4951846645384195,1.464888695308919,40.0,40.0
